trac_name,start_race,race_id,participants
Warwick,14:00,5228054,"{'horse_name': ['Global Stage', 'Coo Star Sivola', 'Monsieur Co', 'Chateau Robin', 'Max Dynamo', 'Sacred Summit'], 'horse_id': ['3', '1', '5', '2', '4', '6'], 'horse_chances': ['5/4 ', '2/1 ', '11/4 ', '18/1 ', '175/1 ', '175/1 ']}"
Dundalk,20:30,5228025,"{'horse_name': ['Ligeti', ""Cristy's Call"", 'Lucent Dream', 'Free State', 'Ciankyle', 'Dandy Rock', 'Alterno', 'Manorov', 'Gramercy Park', 'Lucca', 'Mystery Gal', 'House Limit', 'Marino Marvel', 'Queluz', 'Crafty Codger', 'Redoute Star', 'Duffys Corner'], 'horse_id': ['2', '5', '3', '6', '9', '16', '1', '17', '12', '4', '7', '15', '8', '13', '10', '14', '11'], 'horse_chances': ['8/11', '11/2 ', '8/1 ', '11/1 ', '11/1 ', '12/1 ', '14/1 ', '14/1 ', '18/1 ', '22/1 ', '22/1 ', '28/1 ', '40/1 ', '40/1 ', '50/1 ', '50/1 ']}"
Dundalk,17:30,5228019,"{'horse_name': ['Chestnut Fire', 'Hes Our Music', 'Burn The Boats', 'Elusive In Paris', 'Elusive Guest', 'Mulzamm', 'Silca Wings', 'See You When', 'Illusive Force', 'Poppets Prince', 'Adelena', 'Settle For Red'], 'horse_id': ['1', '3', '10', '6', '5', '7', '12', '9', '11', '2', '4', '8'], 'horse_chances': ['8/11', '7/2 ', '9/1 ', '10/1 ', '12/1 ', '14/1 ', '22/1 ', '25/1 ', '50/1 ', '80/1 ', '100/1 ', '33/1 ']}"
Dundalk,19:00,5228022,"{'horse_name': ['Jon Ess', 'Beat The Bank', 'Loose Chippings', 'Reek Sunday', 'Goodnite Irina', 'Wild Shot', 'Power Of Ten', 'Vincy', 'Honour Roll', 'Maximus Daia', 'D K Travel', 'Woodcarver', 'Born On The Clyde'], 'horse_id': ['5', '1', '6', '13', '12', '10', '8', '9', '4', '7', '3', '11', '2'], 'horse_chances': ['7/4 ', '7/2 ', '9/2 ', '8/1 ', '10/1 ', '14/1 ', '16/1 ', '16/1 ', '18/1 ', '22/1 ', '33/1 ', '33/1 ', '50/1 ']}"
Dundalk,18:00,5228021,"{'horse_name': ['Zinat', 'Tobacco Bay', 'Secret Memories', 'Katouna', 'Fireflies', 'Main Pulse', 'Passionatta', 'Musk Mallow', 'Kitsune', 'Lavinuela'], 'horse_id': ['10', '9', '8', '2', '1', '5', '7', '6', '3', '4'], 'horse_chances': ['4/7 ', '7/2 ', '10/1 ', '12/1 ', '14/1 ', '16/1 ', '25/1 ', '33/1 ', '125/1 ', '125/1 ']}"
Dundalk,18:30,5228020,"{'horse_name': ['Poetic Choice', 'Geological', 'Political Policy', 'Shannon Soul', 'Dark Alliance', 'Aussie Valentine', 'Coreczka', 'Tribal Path'], 'horse_id': ['6', '4', '1', '7', '5', '2', '8', '3'], 'horse_chances': ['5/2 ', '7/2 ', '9/2 ', '5/1 ', '11/2 ', '9/1 ', '14/1 ']}"
Dundalk,20:00,5228024,"{'horse_name': ['War Goddess', 'New Direction', 'Commander Won', 'Multiviz', 'Brokopondo', 'Black Label', 'Carraigin Aonair', 'Maknificent', 'Bittern', 'Wither Hills', 'Next Bend', 'Rubenesque', 'Any Time', 'No Biggie', 'Candle Rocks', 'Dalaki', 'Park Row'], 'horse_id': ['3', '5', '12', '14', '1', '4', '11', '2', '7', '6', '13', '16', '17', '10', '15', '8', '9'], 'horse_chances': ['4/1 ', '4/1 ', '11/2 ', '13/2 ', '7/1 ', '10/1 ', '14/1 ', '16/1 ', '16/1 ', '20/1 ', '20/1 ', '20/1 ', '20/1 ', '25/1 ', '25/1 ', '40/1 ', '20/1 ']}"
Lingfield,17:05,5228070,"{'horse_name': ['Popsilca', 'Street Jazz', 'Who Told Jo Jo', 'Roundabout Magic', 'Met By Moonlight'], 'horse_id': ['5', '2', '1', '3', '4'], 'horse_chances': ['9/4 ', '5/2 ', '4/1 ', '9/2 ', '9/1 ']}"
Dundalk,19:30,5228023,"{'horse_name': ['Voyageofdiscovery', 'Alans Pride', 'Twistsandturns', ""Arlecchino's Rock"", 'Annagassan', 'Seaforth', 'Windsorlot', 'Tom Dooley', 'Modern Tutor', 'Rigid Rock', 'Bubbly Bellini', 'Barbel', ""World's Greatest"", 'Iyiyiangel', 'Jan Steen', 'Appease', ""Kodiac's Back""], 'horse_id': ['1', '5', '10', '11', '13', '6', '7', '12', '9', '14', '2', '15', '3', '17', '8', '16', '4'], 'horse_chances': ['3/1 ', '7/2 ', '4/1 ', '9/1 ', '10/1 ', '12/1 ', '12/1 ', '12/1 ', '14/1 ', '16/1 ', '18/1 ', '22/1 ', '28/1 ', '28/1 ', '33/1 ', '50/1 ']}"
Lingfield,16:35,5228068,"{'horse_name': ['Mr Strutter', 'Tigerfish', 'Bartholomew J', 'Joyful Dream', 'Rockalater', 'Masquerade Bling', 'Arya Stark', 'Hold Me Tight', 'Valley Lodge', 'Young Officer'], 'horse_id': ['1', '6', '10', '2', '9', '4', '5', '3', '7', '8'], 'horse_chances': ['7/4 ', '7/2 ', '5/1 ', '15/2 ', '10/1 ', '16/1 ', '16/1 ', '22/1 ', '25/1 ']}"
